id,symbol,airport name,city,latitude,longitude,xcoordviz,ycoordviz
0,ABE,Lehigh Valley Intl,Allentown,40.652083,-75.440806,1926092.6573218398,337357.52997799066
1,CLE,Cleveland Hopkins Intl,Cleveland,41.411689,-81.849794,1384468.840981363,302554.3380735698
2,CLT,Charlotte Douglas Intl,Charlotte,35.214,-80.943139,1590610.872137192,-355004.41556474107
3,ORD,Chicago Ohare Intl,Chicago,41.978603,-87.904842,879018.7092441344,289127.727395537
4,ATL,Hartsfield Jackson Atlanta Intl,Atlanta,33.636719,-84.428067,1306257.2144207002,-582505.8123245223
5,DTW,Detroit Metro Wayne Co,Detroit,42.212444,-83.353389,1246498.609918478,367981.3399398212
6,ABI,Abilene Rgnl,Abilene,32.411319,-99.681897,-103765.30827983336,-819694.7669631167
7,DFW,Dallas Fort Worth Intl,Dallas-fort Worth,32.896828,-97.037997,144292.38745879734,-765223.3057128008
8,ABQ,Albuquerque International Sunport,Albuquerque,35.0402222,-106.6091944,-729440.9820718415,-496816.85891698755
9,AMA,Rick Husband Amarillo Intl,Amarillo,35.219369,-101.705931,-283618.78563607763,-504371.5242774688
10,BWI,Baltimore Washington Intl,Baltimore,39.175361,-76.668333,1864904.0158840376,153642.78937403022
11,DAL,Dallas Love Fld,Dallas,32.847111,-96.851778,161820.65363735775,-770423.7648970255
12,DEN,Denver Intl,Denver,39.861656,-104.673178,-518180.56998268305,20874.646591981862
13,ELP,El Paso Intl,El Paso,31.80725,-106.377583,-739163.6860560873,-855690.3327668742
14,HOU,William P Hobby,Houston,29.645419,-95.278889,321987.2973214092,-1122403.5863530794
15,LAS,Mc Carran Intl,Las Vegas,36.080056,-115.15225,-1478336.3312971909,-278934.3051209383
16,LAX,Los Angeles Intl,Los Angeles,33.942536,-118.408075,-1815718.1847725313,-451670.18680301105
17,LBB,Lubbock Preston Smith Intl,Lubbock,33.663639,-101.822778,-300359.24646530714,-676082.1672402219
18,MAF,Midland Intl,Midland,31.942528,-102.201914,-343067.20287763124,-865551.7126692211
19,MCI,Kansas City Intl,Kansas City,39.297606,-94.713905,331579.5881899168,-51734.874275351496
20,MCO,Orlando Intl,Orlando,28.429394,-81.308994,1700541.4948931849,-1102200.6768710855
21,MDW,Chicago Midway Intl,Chicago,41.785972,-87.752417,894043.1427720973,269459.146313028
22,OAK,Metropolitan Oakland Intl,Oakland,37.721278,-122.220722,-2050150.2562204585,35355.481935424265
23,PDX,Portland Intl,Portland,45.588722,-122.5975,-1854632.6704579196,884324.9626374407
24,PHX,Phoenix Sky Harbor Intl,Phoenix,33.434278,-112.011583,-1243568.8699050797,-614787.3848755972
25,SAN,San Diego Intl,San Diego,32.733556,-117.189667,-1733013.4836997672,-606490.1869255266
26,SEA,Seattle Tacoma Intl,Seattle,47.449,-122.309306,-1779326.4603696968,1078920.4806056018
27,SLC,Salt Lake City Intl,Salt Lake City,40.788389,-111.977772,-1121073.4119832048,188655.5763802455
28,STL,Lambert St Louis Intl,St. Louis,38.748697,-90.370028,708859.213585487,-87351.81917770958
29,TPA,Tampa Intl,Tampa,27.975472,-82.53325,1590243.9777078163,-1174415.3860406992
30,TUS,Tucson Intl,Tucson,32.116083,-110.941028,-1164922.1976253572,-773757.5823860979
31,IAH,George Bush Intcntl Houston,Houston,29.984433,-95.341442,314540.05176230567,-1084800.3850793329
32,SFO,San Francisco Intl,San Francisco,37.618972,-122.374889,-2066138.075854182,27933.287450311407
33,IAD,Washington Dulles Intl,Washington,38.944533,-77.455811,1804987.5495647532,112966.87048892882
34,MSP,Minneapolis St Paul Intl,Minneapolis,44.881956,-93.221767,423007.91724297765,571694.973132281
35,ABY,Southwest Georgia Regional Airport,Albany,31.5355,-84.1945,1364400.3759052544,-809413.7033639279
36,ACT,Waco Rgnl,Waco,31.611289,-97.230519,128398.51174247194,-908252.4795051108
37,ACV,Arcata,Arcata CA,40.978111,-124.108611,-2109993.4471392664,425165.9126489798
38,SMF,Sacramento Intl,Sacramento,38.695417,-121.590778,-1969765.8523127204,125452.44911941487
39,CEC,Del Norte County Airport,Crescent City,41.7802,-124.237,-2095619.7934656779,513310.5109981676
40,ADK,Adak Airport,Adak Island,51.878,-176.646,-4841095.399062144,3561746.24064489
41,ANC,Ted Stevens Anchorage Intl,Anchorage,61.174361,-149.996361,-2844925.5063553425,3257667.9691405175
42,ADQ,Kodiak,Kodiak,57.749967,-152.493856,-3195184.687289758,2999075.6884674155
43,AEX,Alexandria Intl,Alexandria,31.3274,-92.549833,575443.4854443598,-921679.5494367243
